;Fornecedor;;;Data;;;Valores;;;;Informações;;;;;;;Nota Fiscal;;
Previsão;Cód. Fornecedor;Documento;Fornecedor;Lançamento;Vencimento;Data de Pagamento;Valor;Valor Corrigido;Pago;Valor Pago;Tipo;Histórico;Obs;Tipo Documento;Dias de Carência;Juros;Multa;Modelo NF de Entrada;Série NF de Entrada;Nº NF de Entrada
Não;103;NF: 31965;CAPELIN COMERCIO DE PRODUTOS METALICOS E RECICLAVEIS LTDA;21/05/2025;31/05/2025;02/06/2025;396,00;396,00;Sim;396,00;BOL;ENTRADA Nº : 883 CAPELIN SUCATAS NF 31965 (PARC. 1/1);;DEP;0;0;0;55;1;31965
Não;432;ND;LOCALIZA RENT A CAR S/A;16/05/2025;31/05/2025;02/06/2025;586,80;586,80;Sim;586,80;BOL;ALUGUEL DE VEÍCULO;"Locação Junio
Carro: Polo Track; Placa: TDI1A97; Período: 15/05/2025 08h:28 à 16/05/2025 16h:57. ";DEP;0;0;0;;;
Não;647;NF: 32744;EKU IMPORTADOS LTDA;28/04/2025;01/06/2025;02/06/2025;189,99;189,99;Sim;189,99;C C;CARTÃO DE CRÉDITO BB - 01/06/2025;Cartão Final 7966.;DEP;0;0;0;55;2;32744
Não;203;NF: 492;ABS MOTOS;29/04/2025;01/06/2025;02/06/2025;438,00;438,00;Sim;438,00;C C;CARTÃO DE CRÉDITO BB - 01/06/2025;Cartão Final 7966.;DEP;0;0;0;55;1;492
Não;642;NF: 258461;CICAMPO MAQUINAS E FERRAMENTAS LTDA;15/04/2025;01/06/2025;02/06/2025;86,93;86,93;Sim;86,93;C C;CARTÃO DE CRÉDITO BB - 01/06/2025;Cartão Final 7966.;DEP;0;0;0;55;2;258461
Não;434;PRONAMPE CAIXA;CAIXA ECONOMICA FEDERAL;01/11/2024;01/06/2025;02/06/2025;6.512,41;6.512,41;Sim;6.512,41;DEB;PRONAMPE CAIXA - PARCELA 23 DE 48;"PRONAMPE 2022.
Obs.: A partir de novembro/2024 o restante das parcelas foram lançadas no GRV.
(48 parcelas no total).";DEP;0;0;0;;;
Não;645;NF: 26126;HDR SHOP COMERCIO ELETRONICO LTDA;17/04/2025;01/06/2025;02/06/2025;49,41;49,41;Sim;49,41;C C;CARTÃO DE CRÉDITO BB - 01/06/2025;Cartão Final 7966.;DEP;0;0;0;55;2;26126
Não;423;CARTÃO DE CRÉDITO BB;CARTÃO DE CRÉDITO - BANCO DO BRASIL;01/06/2025;01/06/2025;02/06/2025;3.783,23;3.783,23;Sim;3.783,23;C C;CARTÃO DE CRÉDITO BB - 01/06/2025;"Cartão de credito BB:
Viagem Caio e Helder para JF Citrus em Prata/MG (R$ 270,86 refeição | R$ 882,22 combustível | R$ 2.006,00 hospedagem - NFS-e: 41027 e 41396);
R$ 247,35 - compra de café e açúcar para os funcionários (produção);
R$ 297,80 paquímetros (parcela 02/06) | R$ 75,00 carimbo - sala financeiro;
R$ 4,00 - tarifa;";DEP;0;0;0;;;
Não;22;NF: 37541;C. A. CORREA ELETRICA EIRELI;14/05/2025;02/06/2025;02/06/2025;372,00;372,00;Sim;372,00;BOL;ENTRADA Nº : 844 SISTEMA ELET. NF 37541 (PARC. 1/1);;DEP;0;0;0;55;1;37541
