Cliente;;;Data;;;Valores;;;;Orçamento;;Informações;;;;;;;;Nota Fiscal;;;Previsão de Recebimento na Conta;;Boletos (CNAB);;;;;;;;;;;;
Cód. do Cliente;Documento;Cliente;Lançamento;Vencimento;Pagamento;Valor;Valor Corrigido;Pago;Valor Pago;Número Orçamento;Versão Orçamento;Tipo;Histórico;Obs;Dias Carência;Juros/dia (%);Multa (%);Cod_portador;Portador;Modelo NF;Série NF;Nº NF;Previsão Banco;Previsão CC;Nosso Número;ID Integração Boleto (CNAB);Log Inclusão Boleto;Gerado Arquivo Remessa;Data Arquivo Remessa;Boleto Enviado E-mail;Boleto Data Envio E-mail;Boleto Impresso;Instrução Inclusão Boleto (CNAB);Boleto - Situação da Integração ;Título Espécie DOC;Data Efetivação de Crédito;Valor Taxa de Cobrança
187;13249-1/1;VALE DO TIJUCO ACUCAR E ALCOOL S.A.;20/03/2025;20/04/2025;10/06/2025;8.867,19;8.867,19;Sim;8.867,19;588;;DEP;ORÇAMENTO Nº 588 - TÍTULO:;;0;0;0;0;;55;1;13249;;;;;;Não;;Não;;Não;;;;;
187;13247-1/1;VALE DO TIJUCO ACUCAR E ALCOOL S.A.;19/03/2025;20/04/2025;10/06/2025;12.342,30;12.342,30;Sim;12.342,30;117;;DEP;ORÇAMENTO Nº 117 - TÍTULO:  - PED.: 4500016612;;0;0;0;0;;55;1;13247;;;;;;Não;;Não;;Não;;;;;
187;2835-1/1;VALE DO TIJUCO ACUCAR E ALCOOL S.A.;01/04/2025;10/05/2025;10/06/2025;9.926,39;9.926,39;Sim;9.926,39;430;;DEP;ORÇAMENTO Nº 430 - TÍTULO:;;0;0;0;0;;1;1;2835;;;;;;Não;;Não;;Não;;;;;
202;13453-1/1;COFCO - SEBASTIANOPOLIS;28/04/2025;01/06/2025;02/06/2025;126,98;126,98;Sim;126,98;744;;DEP;ORÇAMENTO Nº 744 - TÍTULO:  - PED.: 4500910920 - PED. ITEM: 10;;0;0;0;0;;55;1;13453;;;;;;Não;;Não;;Não;;;;;
202;13432-1/1;COFCO - SEBASTIANOPOLIS;22/04/2025;01/06/2025;02/06/2025;2.997,58;2.997,58;Sim;2.997,58;703;;DEP;ORÇAMENTO Nº 703 - TÍTULO:  - PED.: 4500892945 - PED. ITEM: 10;;0;0;0;0;;55;1;13432;;;;;;Não;;Não;;Não;;;;;
202;13403-1/1;COFCO - SEBASTIANOPOLIS;14/04/2025;01/06/2025;02/06/2025;20.606,32;20.606,32;Sim;20.606,32;665;;DEP;ORÇAMENTO Nº 665 - TÍTULO:  - PED.: 4500880534;;0;0;0;0;;55;1;13403;;;;;;Não;;Não;;Não;;;;;
202;13438-1/1;COFCO - SEBASTIANOPOLIS;22/04/2025;01/06/2025;02/06/2025;1.793,50;1.793,50;Sim;1.793,50;702;;DEP;ORÇAMENTO Nº 702 - TÍTULO:  - PED.: 4500890172 - PED. ITEM: 10;;0;0;0;0;;55;1;13438;;;;;;Não;;Não;;Não;;;;;
188;2857-1/1;TEREOS - COLINA;16/04/2025;01/06/2025;02/06/2025;5.267,40;5.267,40;Sim;5.267,40;446;;DEP;ORÇAMENTO Nº 446 - TÍTULO:  - PED.: 4702429526;;0;0;0;0;;1;1;2857;;;;;;Não;;Não;;Não;;;;;
203;13456-1/1;COFCO - CATANDUVA;29/04/2025;01/06/2025;02/06/2025;144,48;144,48;Sim;144,48;747;;DEP;ORÇAMENTO Nº 747 - TÍTULO:  - PED.: 4500914372 - PED. ITEM: 10;;0;0;0;0;;55;1;13456;;;;;;Não;;Não;;Não;;;;;
202;13441-1/1;COFCO - SEBASTIANOPOLIS;24/04/2025;01/06/2025;02/06/2025;1.499,80;1.499,80;Sim;1.499,80;732;;DEP;ORÇAMENTO Nº 732 - TÍTULO:  - PED.: 4500908895 - PED. ITEM: 10;;0;0;0;0;;55;1;13441;;;;;;Não;;Não;;Não;;;;;
202;13455-1/1;COFCO - SEBASTIANOPOLIS;28/04/2025;01/06/2025;02/06/2025;1.019,23;1.019,23;Sim;1.019,23;746;;DEP;ORÇAMENTO Nº 746 - TÍTULO:  - PED.: 4500914371 - PED. ITEM: 10, 20;;0;0;0;0;;55;1;13455;;;;;;Não;;Não;;Não;;;;;
188;13166-1/1;TEREOS - COLINA;04/03/2025;01/06/2025;02/06/2025;1.534,36;1.534,36;Sim;1.534,36;543;;DEP;ORÇAMENTO Nº 543 - TÍTULO:  - PED.: 4702439879 - PED. ITEM: 00010;;0;0;0;0;;55;1;13166;;;;;;Não;;Não;;Não;;;;;
188;13167-1/1;TEREOS - COLINA;04/03/2025;01/06/2025;02/06/2025;1.595,86;1.595,86;Sim;1.595,86;551;;DEP;ORÇAMENTO Nº 551 - TÍTULO:  - PED.: 4702441956 - PED. ITEM: 00010;;0;0;0;0;;55;1;13167;;;;;;Não;;Não;;Não;;;;;
151;2851-1/1;TEREOS - TANABI;14/04/2025;01/06/2025;02/06/2025;5.392,11;5.392,11;Sim;5.392,11;395;;DEP;ORÇAMENTO Nº 395 - TÍTULO:  - PED.: 4702430797;;0;0;0;0;;1;1;2851;;;;;;Não;;Não;;Não;;;;;
188;13408-1/1;TEREOS - COLINA;16/04/2025;01/06/2025;02/06/2025;21.733,18;21.733,18;Sim;21.733,18;;;DEP;ORÇAMENTO Nº 446 - TÍTULO:  - PED.: 4702429526;;0;0;0;0;;55;1;13408;;;;;;Não;;Não;;Não;;;;;
151;2850-1/1;TEREOS - TANABI;14/04/2025;01/06/2025;02/06/2025;9.095,00;9.095,00;Sim;9.095,00;395;;DEP;ORÇAMENTO Nº 395 - TÍTULO:  - PED.: 4702430344;;0;0;0;0;;1;1;2850;;;;;;Não;;Não;;Não;;;;;
137;13394-1/1;COFCO - MERIDIANO;14/04/2025;01/06/2025;02/06/2025;1.926,80;1.926,80;Sim;1.926,80;649;;DEP;ORÇAMENTO Nº 649 - TÍTULO:  - PED.: 4500880535 - PED. ITEM: 10;;0;0;0;0;;55;1;13394;;;;;;Não;;Não;;Não;;;;;
319;RENDIMENTO APLICAÇÃO;ITAÚ UNIBANCO S/A;02/06/2025;02/06/2025;02/06/2025;0,33;0,33;Sim;0,33;;;DEP;RENDIMENTO APLICAÇÃO AUTOMÁTICA;;0;0;0;0;;;;0;;;;;;Não;;Não;;Não;;;;;
91;13169-1/1;RAIZEN - JATAI;04/03/2025;02/06/2025;02/06/2025;283,01;283,01;Sim;283,01;550;;DEP;ORÇAMENTO Nº 550 - TÍTULO:  - PED.: 4509377468 - PED. ITEM: 10;;0;0;0;0;;55;1;13169;;;;;;Não;;Não;;Não;;;;;
385;13170-1/1;RAIZEN ENERGIA S.A;04/03/2025;02/06/2025;02/06/2025;48,00;48,00;Sim;48,00;526;;DEP;ORÇAMENTO Nº 526 - TÍTULO:  - PED.: 4509371702 - PED. ITEM: 10;;0;0;0;0;;55;1;13170;;;;;;Não;;Não;;Não;;;;;
211;13592-1/1;COX BIOENERGIA AGROINDÚSTRIA - ABENGOA SÃO JOÃO;02/06/2025;02/06/2025;03/06/2025;48,00;48,00;Sim;48,00;907;;PIX;ORÇAMENTO Nº 907 - TÍTULO:  - PED.: 4501323065 - PED. ITEM: 10;;0;0;0;0;;55;1;13592;;;;;;Não;;Não;;Não;;;;;
262;13543-1/1;WJJ MANUTENCAO INDUSTRIAL;19/05/2025;03/06/2025;03/06/2025;677,57;677,57;Sim;677,57;805;;BOL;ORÇAMENTO Nº 805 - TÍTULO:  - PED.: 001/2025 - PED. ITEM: 1;;0;0;0;0;;55;1;13543;;;;;;Não;;Não;;Não;;;;;
306;13176-1/1;RAIZEN ENERGIA S.A.;05/03/2025;03/06/2025;03/06/2025;2.178,28;2.178,28;Sim;2.178,28;565;;DEP;ORÇAMENTO Nº 565 - TÍTULO:  - PED.: 4509379571 - PED. ITEM: 10;;0;0;0;0;;55;1;13176;;;;;;Não;;Não;;Não;;;;;
406;2871-1/2;FASS INDUSTRIA E COMERCIO DE PRODUTOS AGROPECUARIOS LTDA;06/05/2025;03/06/2025;04/06/2025;6.084,17;6.084,17;Sim;6.084,17;709;;BOL;ORÇAMENTO Nº 709 - TÍTULO:;;0;0;0;0;;1;1;2871;;;;;;Não;;Não;;Não;;;;;
406;13492-1/2;FASS INDUSTRIA E COMERCIO DE PRODUTOS AGROPECUARIOS LTDA;06/05/2025;03/06/2025;04/06/2025;3.698,87;3.698,87;Sim;3.698,87;710;;BOL;ORÇAMENTO Nº 710 - TÍTULO:  - PED.: 1 - PED. ITEM: 1;;0;0;0;0;;55;1;13492;;;;;;Não;;Não;;Não;;;;;
406;13491-1/2;FASS INDUSTRIA E COMERCIO DE PRODUTOS AGROPECUARIOS LTDA;06/05/2025;03/06/2025;04/06/2025;2.716,96;2.716,96;Sim;2.716,96;709;;BOL;ORÇAMENTO Nº 709 - TÍTULO:;;0;0;0;0;;55;1;13491;;;;;;Não;;Não;;Não;;;;;
319;RENDIMENTO APLICAÇÃO;ITAÚ UNIBANCO S/A;04/06/2025;04/06/2025;04/06/2025;1,75;1,75;Sim;1,75;;;DEP;RENDIMENTO APLICAÇÃO AUTOMÁTICA;;0;0;0;0;;;;0;;;;;;Não;;Não;;Não;;;;;
286;13487-1/1;BARRA MANSA;06/05/2025;05/06/2025;06/06/2025;266,85;266,85;Sim;266,85;728;;BOL;ORÇAMENTO Nº 728 - TÍTULO:  - PED.: 187.032 - PED. ITEM: 1;;0;0;0;0;;55;1;13487;;;;;;Não;;Não;;Não;;;;;
150;13464-1/1;AMBIENT SERVICOS AMBIENTAIS DE RIBEIRAO PRETO S/A;02/05/2025;05/06/2025;05/06/2025;2.144,12;2.144,12;Sim;2.144,12;455;;DEP;ORÇAMENTO Nº 455 - TÍTULO:  - PED.: 4100018621;;0;0;0;0;;55;1;13464;;;;;;Não;;Não;;Não;;;;;
319;RENDIMENTO APLICAÇÃO;ITAÚ UNIBANCO S/A;05/06/2025;05/06/2025;05/06/2025;0,12;0,12;Sim;0,12;;;DEP;RENDIMENTO APLICAÇÃO AUTOMÁTICA;;0;0;0;0;;;;0;;;;;;Não;;Não;;Não;;;;;
150;2869-1/1;AMBIENT SERVICOS AMBIENTAIS DE RIBEIRAO PRETO S/A;02/05/2025;05/06/2025;05/06/2025;671,48;671,48;Sim;671,48;455;;DEP;ORÇAMENTO Nº 455 - TÍTULO:  - PED.: 4100018621;;0;0;0;0;;1;1;2869;;;;;;Não;;Não;;Não;;;;;
111;2872-1/1;SOLUBIO TECNOLOGIAS AGRICOLAS;07/05/2025;06/06/2025;02/06/2025;8.250,00;8.250,00;Sim;8.250,00;789;;DEP;ORÇAMENTO Nº 789 - TÍTULO:  - PED.: 1 - PED. ITEM: 1;;0;0;0;0;;1;1;2872;;;;;;Não;;Não;;Não;;;;;
319;RENDIMENTO APLICAÇÃO;ITAÚ UNIBANCO S/A;06/06/2025;06/06/2025;06/06/2025;0,27;0,27;Sim;0,27;;;DEP;RENDIMENTO APLICAÇÃO AUTOMÁTICA;;0;0;0;0;;;;0;;;;;;Não;;Não;;Não;;;;;
162;13520-1/1;VITAL BRASIL CHEMICAL IND. E COM. DE PROD. QUIMICOS S.A.;09/05/2025;08/06/2025;10/06/2025;1.239,00;1.239,00;Sim;1.239,00;624;;BOL;ORÇAMENTO Nº 624 - TÍTULO:  - PED.: 294404 - PED. ITEM: 1;;0;0;0;0;;55;1;13520;;;;;;Não;;Não;;Não;;;;;
319;RENDIMENTO APLICAÇÃO;ITAÚ UNIBANCO S/A;09/06/2025;09/06/2025;09/06/2025;0,17;0,17;Sim;0,17;;;DEP;RENDIMENTO APLICAÇÃO AUTOMÁTICA;;0;0;0;0;;;;0;;;;;;Não;;Não;;Não;;;;;
200;2873-1/1;NITRO1000 IND. E COM. DE PROD. AGROPEC. E TEXTEIS LTDA;12/05/2025;09/06/2025;05/06/2025;2.500,00;2.500,00;Sim;2.500,00;653;;BOL;ORÇAMENTO Nº 653 - TÍTULO:  - PED.: 1 - PED. ITEM: 1;;0;0;0;0;;1;1;2873;;;;;;Não;;Não;;Não;;;;;
200;13522-1/1;NITRO1000 IND. E COM. DE PROD. AGROPEC. E TEXTEIS LTDA;12/05/2025;09/06/2025;05/06/2025;6.123,72;6.123,72;Sim;6.123,72;653;;BOL;ORÇAMENTO Nº 653 - TÍTULO:  - PED.: 1 - PED. ITEM: 1;;0;0;0;0;;55;1;13522;;;;;;Não;;Não;;Não;;;;;
220;2875-1/1;PRIME EQUIPAMENTOS DE BOMBEAMENTO LTDA;12/05/2025;09/06/2025;10/06/2025;488,76;488,76;Sim;488,76;613;;BOL;ORÇAMENTO Nº 613 - TÍTULO:  - PED.: 1 - PED. ITEM: 1;;0;0;0;0;;1;1;2875;;;;;;Não;;Não;;Não;;;;;
